place,ranking,lat,long,duration(h)
House at the Stone Bell,189,50.0875,14.4205,0.6
Jan Palach Memorial,190,50.0859,14.4191,0.5
Náprstek Museum,191,50.0907,14.4128,0.6
Falconer's House,192,50.0900,14.4165,0.5
Hotel Jalta Nuclear Bunker,193,50.0787,14.4219,0.6
Pinkas Synagogue,196,50.0914,14.4175,0.7
Nový Svět Quarter,199,50.0865,14.4174,0.6
Jindřišská Tower,200,50.0878,14.4196,0.5
Josefov,202,50.0905,14.4209,0.7
NaFilM – National Film Museum,205,50.0858,14.4176,0.5
Velvet Revolution Monument,206,50.0854,14.4208,0.6
Church of Sts Peter & Paul,207,50.0850,14.4122,0.5
Lapidárium,208,50.0912,14.4143,0.5
Petřín Funicular Railway,212,50.0808,14.3994,0.7
Maltese Square,213,50.0883,14.4125,0.5
Miniature Museum,214,50.0902,14.4127,0.5
Convent of St Ursula,217,50.0900,14.4208,0.6
Museum Montanelli,218,50.0871,14.4204,0.5
Colloredo-Mansfeld Palace,224,50.0894,14.4217,0.6
Powder Tower,226,50.0875,14.4212,0.6
Novomlýnská Water Tower,230,50.0852,14.4193,0.5
Hotel International,231,50.0833,14.4267,0.7
National Museum of Agriculture,235,50.0870,14.4182,0.8
House of the Hlahol Choir,238,50.0846,14.4210,0.5
Miminka (David Černý Sculpture),239,50.0897,14.4169,0.5
Galerie Rudolfinum,242,50.0906,14.4205,0.6
Goethe Institute,246,50.0879,14.4180,0.5
Wenceslas Statue,251,50.0793,14.4284,0.7
Futura Gallery,252,50.0892,14.4210,0.5
Spanish Synagogue,253,50.0902,14.4213,0.7
Jan Palach's Grave,255,50.0896,14.4202,0.5
St Nicholas Church Bell Tower,258,50.0893,14.4205,0.6
Museum of the Senses,260,50.0879,14.4193,0.6
Franciscan Garden,261,50.0876,14.4206,0.5
DSC Gallery,262,50.0872,14.4191,0.6
Lego Museum,263,50.0880,14.4172,0.5
Leica Gallery,264,50.0900,14.4182,0.5
Maisel Synagogue,265,50.0890,14.4203,0.5
František Palacký Memorial,267,50.0850,14.4211,0.5
Divoká Šárka,269,50.1183,14.3966,1.0
Charles University Botanical Garden,271,50.0865,14.4129,0.6
Smiřický Palace,274,50.0905,14.4147,0.5
Cubist Lamp Post,275,50.0874,14.4165,0.5
Art Gallery for Children,276,50.0890,14.4204,0.6
South Gardens,277,50.0889,14.4178,0.5
Proudy (David Černý Sculpture),278,50.0894,14.4209,0.5
Summer Palace,282,50.0873,14.4166,0.5
Vojan Gardens,283,50.0867,14.4171,0.6
House at the Black Bear,285,50.0908,14.4194,0.6
Leopold Gate,286,50.0884,14.4201,0.5
Museum of Public Transport,290,50.0878,14.4209,0.7
Riegrovy sady,292,50.0767,14.4332,0.6
Granovsky Palace,293,50.0880,14.4224,0.5
Rotunda of St Longinus,294,50.0893,14.4199,0.5
St George Slaying the Dragon,298,50.0879,14.4186,0.6
Viselec (David Černý Sculpture),299,50.0895,14.4198,0.5
Koruna Palace,300,50.0850,14.4211,0.5
Hunt Kastner,305,50.0886,14.4210,0.6
Church of St Clement,306,50.0890,14.4195,0.5
Melantrich Building,307,50.0871,14.4204,0.5
Church of St Francis Seraphinus,308,50.0879,14.4217,0.6
Chemistry Gallery,311,50.0892,14.4208,0.6
VJ Rott Building,313,50.0868,14.4193,0.5
Jewish Town Hall,314,50.0891,14.4205,0.7
Ceremonial Hall,315,50.0889,14.4192,0.5
Wiehl House,318,50.0878,14.4199,0.5
