place,ranking,lat,long,duration(h)
Adolf Loos' Public Toilets,164,48.2016,16.3698,0.5
Museum der Illusionen,166,48.2052,16.3701,0.6
Cathedral Pummerin,169,48.2063,16.3699,0.6
Gloriette,173,48.1846,16.3085,0.8
Lainzer Tiergarten,174,48.1759,16.3117,1.0
Peterskirche,175,48.2017,16.3686,0.5
Ruprechtskirche,176,48.2090,16.3706,0.5
Neidhart-Fresken,180,48.2097,16.3685,0.5
Haydnhaus,182,48.2038,16.3664,0.6
Museum für Volkskunde,183,48.2022,16.3647,0.7
Helmut-Zilk-Platz,187,48.2091,16.3728,0.6
Wien Museum,189,48.2022,16.3709,0.7
Piaristenkirche,199,48.2057,16.3723,0.5
Schmetterlinghaus,205,48.2023,16.3699,0.6
Zentralfriedhof,208,48.1622,16.4306,1.5
Kunstforum,212,48.2060,16.3701,0.7
Michaelerkirche,214,48.2046,16.3692,0.5
Dom- & Diözesanmuseum,218,48.2099,16.3732,0.6
Wien Museum MUSA,220,48.2081,16.3704,0.6
Griechenkirche zur Heiligen Dreifaltigkeit,221,48.2113,16.3708,0.5
Wüstenhaus,222,48.1833,16.3142,0.5
Wagenburg,226,48.1878,16.3140,0.5
Böhmische Hofkanzlei,227,48.2040,16.3704,0.5
Mahnmal Gegen Krieg und Faschismus,230,48.2043,16.3667,0.5
Rossauer Kaserne,231,48.2120,16.3695,0.5
Silberkammer,233,48.2060,16.3700,0.5
Pestsäule,235,48.2080,16.3730,0.5
Kunsthalle Project Space,242,48.2024,16.3662,0.6
Hietzinger Friedhof,249,48.1747,16.3189,1.0
Hauptbücherei Wien,253,48.2082,16.3734,0.7
Monument to the Victims of Fascism,260,48.2106,16.3698,0.5
Dr-Ignaz-Seipel-Platz,261,48.2049,16.3688,0.6
Michaelerplatz Roman Ruins,267,48.2064,16.3711,0.5
Schöner Brunnen,270,48.2052,16.3703,0.5
Erste Österrichische Sparkasse,271,48.2067,16.3686,0.5
Kapuzinerkirche,272,48.2050,16.3699,0.5
Roman Ruins,276,48.2062,16.3721,0.5
Kronprinzengarten,281,48.2054,16.3694,0.7
Equitable Palais,285,48.2059,16.3687,0.5
Morzinplatz,298,48.2043,16.3698,0.6
Statue of Mozart,320,48.2041,16.3703,0.7
