place,ranking,lat,long,duration(h)
Museo delle Arti Sanitarie,734,40.8424,14.2452,1.0
Palazzo dello Spagnuolo,751,40.8475,14.2519,1.0
Laboratorio Michele Iodice,804,40.8480,14.2564,0.5
Museo del Sottosuolo,806,40.8493,14.2537,1.0
Università degli Studi di Napoli Federico II,808,40.8507,14.2590,1.0
Porto di Mergellina,809,40.8281,14.2261,1.0
Basilica di San Paolo Maggiore,835,40.8534,14.2541,1.0
Maradona Shrine,836,40.8333,14.2336,0.5
MeMus,846,40.8429,14.2463,1.0
Piazza dei Martiri,900,40.8430,14.2522,0.5
Museo Nitsch,928,40.8496,14.2548,1.0
Officina D'Arti Grafiche di Carmine Cervone,962,40.8501,14.2499,0.5
Port'Alba,984,40.8509,14.2581,0.5
Complesso San Pietro Martire,986,40.8502,14.2525,1.0
La Bottega del Mandolino,1022,40.8437,14.2459,0.5
Basilica di San Giorgio Maggiore,1083,40.8274,14.2356,1.0
Molo Luise,1144,40.8296,14.2325,1.0
Piazzetta del Leone,1186,40.8265,14.2373,0.5
Made in Cloister,1189,40.8361,14.2387,1.0
Real Bosco di Capodimonte,1249,40.8560,14.2346,2.0
La Torretta di Mergellina,1265,40.8307,14.2250,1.0
Zhao,1290,40.8463,14.2491,0.5
Chiesa di Sant'Angelo a Nilo,1323,40.8492,14.2512,0.5
Villa Maria,1326,40.8449,14.2520,1.0
Galleria Lia Rumma,1362,40.8491,14.2564,1.0
Orto Botanico di Napoli,1367,40.8495,14.2533,1.5
Basilica di San Francesco di Paola,1412,40.8498,14.2471,1.0
Palazzo Sanfelice,1415,40.8482,14.2497,1.0
Guglia di San Gennaro,1445,40.8497,14.2492,0.5
Galleria Umberto I,1479,40.8467,14.2522,1.0
Ospedale delle Bambole,1504,40.8506,14.2575,1.0
La Pignasecca,1538,40.8446,14.2430,1.0
Mercato Sant'Antonio Abate,1706,40.8488,14.2540,1.0
Palazzo delle Arti Napoli,1711,40.8521,14.2490,1.0
Guglia dell'Immacolata,1776,40.8491,14.2470,0.5
Thomas Dane Gallery,1780,40.8486,14.2545,0.5
Guglia di San Domenico,1817,40.8494,14.2562,0.5
Lisa Weber Laboratorio di Ceramica,1995,40.8493,14.2582,0.5
Piazza del Mercato,2012,40.8502,14.2537,0.5
Piazzetta Orefici,2014,40.8491,14.2498,0.5
Palazzo Orsini in Gravina,2025,40.8495,14.2531,1.0
Palazzo dei Di Sangro,2041,40.8533,14.2543,1.0
Chiesa di Madre di Buon Consiglio,2149,40.8469,14.2496,1.0
